timestamps,feed_grade,cow_id
2023/08/22 10:32:25,S00,
2023/08/22 10:32:29,,0.0
2023/08/22 10:32:33,S00,
2023/08/22 10:32:37,,0.0
2023/08/22 10:32:41,,1.0
2023/08/22 10:32:45,S30,
2023/08/22 10:32:49,S30,
2023/08/22 10:32:53,,0.0
2023/08/22 10:32:57,,1.0
2023/08/22 10:33:01,,0.0
2023/08/22 10:33:05,S00,
2023/08/22 10:33:09,,1.0
2023/08/22 10:33:13,S05,
2023/08/22 10:33:17,,1.0
2023/08/22 10:33:21,,1.0
2023/08/22 10:33:25,S05,
2023/08/22 10:33:29,,0.0
2023/08/22 10:33:33,,2.0
2023/08/22 10:33:37,,2.0
2023/08/22 10:33:41,,0.0
2023/08/22 10:33:45,,2.0
2023/08/22 10:33:49,S30,
2023/08/22 10:33:53,,1.0
2023/08/22 10:33:57,,1.0
2023/08/22 10:34:01,,2.0
2023/08/22 10:34:05,S30,
2023/08/22 10:34:09,S05,
2023/08/22 10:34:13,S30,
2023/08/22 10:34:17,,0.0
2023/08/22 10:34:21,,1.0
2023/08/22 10:34:25,S30,
2023/08/22 10:34:29,,0.0
2023/08/22 10:34:33,,1.0
2023/08/22 10:34:37,,1.0
2023/08/22 10:34:41,S30,
2023/08/22 10:34:45,,1.0
2023/08/22 10:34:49,,1.0
2023/08/22 10:34:53,S30,
2023/08/22 10:34:57,S30,
2023/08/22 10:35:01,,2.0
2023/08/22 10:35:05,,2.0
2023/08/22 10:35:09,S00,
2023/08/22 10:35:13,,0.0
2023/08/22 10:35:17,S30,
2023/08/22 10:35:21,S00,
2023/08/22 10:35:25,,0.0
2023/08/22 10:35:29,,1.0
2023/08/22 10:35:33,,2.0
2023/08/22 10:35:37,S05,
2023/08/22 10:35:41,,1.0
2023/08/22 10:35:45,S00,
2023/08/22 10:35:49,,0.0
2023/08/22 10:35:53,,1.0
2023/08/22 10:35:57,S30,
2023/08/22 10:36:01,,1.0
2023/08/22 10:36:05,S00,
2023/08/22 10:36:09,,0.0
2023/08/22 10:36:13,,0.0
2023/08/22 10:36:17,,1.0
2023/08/22 10:36:21,S30,
2023/08/22 10:36:25,S30,
2023/08/22 10:36:29,S30,
2023/08/22 10:36:33,,1.0
2023/08/22 10:36:37,,1.0
2023/08/22 10:36:41,S00,
2023/08/22 10:36:45,S05,
2023/08/22 10:36:49,,1.0
2023/08/22 10:36:53,,0.0
2023/08/22 10:36:57,,0.0
2023/08/22 10:37:01,,1.0
2023/08/22 10:37:05,,1.0
2023/08/22 10:37:09,S30,
2023/08/22 10:37:13,S30,
2023/08/22 10:37:17,S00,
2023/08/22 10:37:21,S30,
2023/08/22 10:37:25,S05,
2023/08/22 10:37:29,,1.0
2023/08/22 10:37:33,,0.0
2023/08/22 10:37:37,,0.0
2023/08/22 10:37:41,,2.0
2023/08/22 10:37:45,S30,
2023/08/22 10:37:49,S30,
2023/08/22 10:37:53,S30,
2023/08/22 10:37:57,,1.0
2023/08/22 10:38:01,S30,
2023/08/22 10:38:05,S30,
2023/08/22 10:38:09,,0.0
2023/08/22 10:38:13,,1.0
2023/08/22 10:38:17,S00,
2023/08/22 10:38:21,,1.0
2023/08/22 10:38:25,,0.0
2023/08/22 10:38:29,,0.0
2023/08/22 10:38:33,,2.0
2023/08/22 10:38:37,S30,
2023/08/22 10:38:41,S30,
2023/08/22 10:38:45,S30,
2023/08/22 10:38:49,S30,
2023/08/22 10:38:53,S05,
2023/08/22 10:38:57,,0.0
2023/08/22 10:39:01,,1.0
2023/08/22 10:39:05,,1.0
2023/08/22 10:39:09,,0.0
2023/08/22 10:39:13,,0.0
2023/08/22 10:39:17,S30,
2023/08/22 10:39:21,,1.0
2023/08/22 10:39:25,S05,
2023/08/22 10:39:29,,0.0
2023/08/22 10:39:33,S05,
2023/08/22 10:39:37,,1.0
2023/08/22 10:39:41,,1.0
2023/08/22 10:39:45,,0.0
2023/08/22 10:39:49,S05,
2023/08/22 10:39:53,,1.0
2023/08/22 10:39:57,S30,
2023/08/22 10:40:01,,1.0
2023/08/22 10:40:05,S30,
2023/08/22 10:40:09,,1.0
2023/08/22 10:40:13,,1.0
2023/08/22 10:40:17,,1.0
2023/08/22 10:40:21,,2.0
2023/08/22 10:40:25,,0.0
2023/08/22 10:40:29,,2.0
2023/08/22 10:40:33,S05,
2023/08/22 10:40:37,S30,
2023/08/22 10:40:41,,1.0
2023/08/22 10:40:45,S00,
2023/08/22 10:40:49,,0.0
2023/08/22 10:40:53,,0.0
2023/08/22 10:40:57,S30,
2023/08/22 10:41:01,,0.0
2023/08/22 10:41:05,,0.0
2023/08/22 10:41:09,,1.0
2023/08/22 10:41:13,,0.0
2023/08/22 10:41:17,,0.0
2023/08/22 10:41:21,S05,
2023/08/22 10:41:25,,1.0
2023/08/22 10:41:29,S30,
2023/08/22 10:41:33,,1.0
2023/08/22 10:41:37,,0.0
2023/08/22 10:41:41,S30,
2023/08/22 10:41:45,,0.0
2023/08/22 10:41:49,,0.0
2023/08/22 10:41:53,,1.0
2023/08/22 10:41:57,S05,
2023/08/22 10:42:01,,1.0
2023/08/22 10:42:05,,1.0
2023/08/22 10:42:09,S00,
2023/08/22 10:42:13,S30,
2023/08/22 10:42:17,,1.0
2023/08/22 10:42:21,S30,
2023/08/22 10:42:25,S00,
2023/08/22 10:42:29,,2.0
2023/08/22 10:42:33,,0.0
2023/08/22 10:42:37,S00,
2023/08/22 10:42:41,,1.0
2023/08/22 10:42:45,S30,
2023/08/22 10:42:49,S05,
2023/08/22 10:42:53,S30,
2023/08/22 10:42:57,S30,
2023/08/22 10:43:01,,0.0
2023/08/22 10:43:05,,0.0
2023/08/22 10:43:09,S00,
2023/08/22 10:43:13,,1.0
2023/08/22 10:43:17,S05,
2023/08/22 10:43:21,S00,
2023/08/22 10:43:25,S30,
2023/08/22 10:43:29,,1.0
2023/08/22 10:43:33,S00,
2023/08/22 10:43:37,S00,
2023/08/22 10:43:41,,0.0
2023/08/22 10:43:45,S05,
2023/08/22 10:43:49,,0.0
2023/08/22 10:43:53,,0.0
2023/08/22 10:43:57,,1.0
2023/08/22 10:44:01,S30,
2023/08/22 10:44:05,S05,
2023/08/22 10:44:09,S30,
2023/08/22 10:44:13,,2.0
2023/08/22 10:44:17,S05,
2023/08/22 10:44:21,,1.0
2023/08/22 10:44:25,,1.0
2023/08/22 10:44:29,S40,
2023/08/22 10:44:33,,0.0
2023/08/22 10:44:37,,0.0
2023/08/22 10:44:41,S30,
2023/08/22 10:44:45,,1.0
2023/08/22 10:44:49,S05,
2023/08/22 10:44:53,,0.0
2023/08/22 10:44:57,,0.0
2023/08/22 10:45:01,,1.0
2023/08/22 10:45:05,,0.0
2023/08/22 10:45:09,S05,
2023/08/22 10:45:13,,1.0
2023/08/22 10:45:17,,0.0
2023/08/22 10:45:21,S30,
2023/08/22 10:45:25,,1.0
2023/08/22 10:45:29,S30,
2023/08/22 10:45:33,S30,
2023/08/22 10:45:37,,1.0
2023/08/22 10:45:41,,0.0
2023/08/22 10:45:45,,1.0
2023/08/22 10:45:49,,0.0
2023/08/22 10:45:53,,0.0
2023/08/22 10:45:57,,0.0
2023/08/22 10:46:01,,1.0
2023/08/22 10:46:05,,1.0
2023/08/22 10:46:09,S05,
2023/08/22 10:46:13,,1.0
2023/08/22 10:46:17,,2.0
2023/08/22 10:46:21,,1.0
2023/08/22 10:46:25,,1.0
2023/08/22 10:46:29,S30,
2023/08/22 10:46:33,,2.0
2023/08/22 10:46:37,,1.0
2023/08/22 10:46:41,,0.0
2023/08/22 10:46:45,,2.0
2023/08/22 10:46:49,,1.0
2023/08/22 10:46:53,,0.0
2023/08/22 10:46:57,,1.0
2023/08/22 10:47:01,S05,
2023/08/22 10:47:05,,1.0
2023/08/22 10:47:09,S05,
2023/08/22 10:47:13,,1.0
2023/08/22 10:47:17,,1.0
2023/08/22 10:47:21,,1.0
2023/08/22 10:47:25,,0.0
2023/08/22 10:47:29,,0.0
2023/08/22 10:47:33,,1.0
2023/08/22 10:47:37,,0.0
2023/08/22 10:47:41,,0.0
2023/08/22 10:47:45,,0.0
2023/08/22 10:47:49,S30,
2023/08/22 10:47:53,,1.0
2023/08/22 10:47:57,,0.0
2023/08/22 10:48:01,S30,
2023/08/22 10:48:05,S05,
2023/08/22 10:48:09,S30,
2023/08/22 10:48:13,,1.0
2023/08/22 10:48:17,S30,
2023/08/22 10:48:21,,1.0
2023/08/22 10:48:25,,1.0
2023/08/22 10:48:29,S30,
2023/08/22 10:48:33,,2.0
2023/08/22 10:48:37,,0.0
2023/08/22 10:48:41,,1.0
2023/08/22 10:48:45,,0.0
2023/08/22 10:48:49,,0.0
2023/08/22 10:48:53,,0.0
2023/08/22 10:48:57,S00,
2023/08/22 10:49:01,S00,
2023/08/22 10:49:05,S00,
2023/08/22 10:49:09,,1.0
2023/08/22 10:49:13,,1.0
2023/08/22 10:49:17,,2.0
2023/08/22 10:49:21,S30,
2023/08/22 10:49:25,,2.0
2023/08/22 10:49:29,,1.0
2023/08/22 10:49:33,,1.0
2023/08/22 10:49:37,S30,
2023/08/22 10:49:41,,0.0
2023/08/22 10:49:45,,1.0
2023/08/22 10:49:49,S00,
2023/08/22 10:49:53,S05,
2023/08/22 10:49:57,,0.0
2023/08/22 10:50:01,,1.0
2023/08/22 10:50:05,,1.0
2023/08/22 10:50:09,S30,
2023/08/22 10:50:13,,0.0
2023/08/22 10:50:17,,0.0
2023/08/22 10:50:21,S00,
2023/08/22 10:50:25,,1.0
2023/08/22 10:50:29,,0.0
2023/08/22 10:50:33,S30,
2023/08/22 10:50:37,,0.0
2023/08/22 10:50:41,S05,
2023/08/22 10:50:45,,1.0
2023/08/22 10:50:49,,1.0
2023/08/22 10:50:53,S00,
2023/08/22 10:50:57,,0.0
2023/08/22 10:51:01,,2.0
2023/08/22 10:51:05,S30,
2023/08/22 10:51:09,S30,
2023/08/22 10:51:13,,1.0
2023/08/22 10:51:17,,1.0
2023/08/22 10:51:21,S30,
2023/08/22 10:51:25,,0.0
2023/08/22 10:51:29,,1.0
2023/08/22 10:51:33,S05,
2023/08/22 10:51:37,,1.0
2023/08/22 10:51:41,S30,
2023/08/22 10:51:45,S05,
2023/08/22 10:51:49,,0.0
2023/08/22 10:51:53,,2.0
2023/08/22 10:51:57,,1.0
2023/08/22 10:52:01,,1.0
2023/08/22 10:52:05,,1.0
2023/08/22 10:52:09,S30,
2023/08/22 10:52:13,,1.0
2023/08/22 10:52:17,,1.0
2023/08/22 10:52:21,S00,
2023/08/22 11:02:27,,0.0
2023/08/22 11:02:31,S05,
2023/08/22 11:02:35,,1.0
2023/08/22 11:02:39,,1.0
2023/08/22 11:02:43,,0.0
2023/08/22 11:02:47,,1.0
2023/08/22 11:02:51,S10,
2023/08/22 11:02:55,,0.0
2023/08/22 11:02:59,S05,
2023/08/22 11:03:03,,0.0
2023/08/22 11:03:07,,0.0
2023/08/22 11:03:11,,1.0
2023/08/22 11:03:15,,2.0
2023/08/22 11:03:19,,1.0
2023/08/22 11:03:23,S30,
2023/08/22 11:03:27,,0.0
2023/08/22 11:03:31,S00,
2023/08/22 11:03:35,,0.0
2023/08/22 11:03:39,S05,
2023/08/22 11:03:43,S00,
2023/08/22 11:03:47,,1.0
2023/08/22 11:03:51,S05,
2023/08/22 11:03:55,S30,
2023/08/22 11:03:59,S05,
2023/08/22 11:04:03,,1.0
2023/08/22 11:04:07,S30,
2023/08/22 11:04:11,S30,
2023/08/22 11:04:15,,1.0
2023/08/22 11:04:19,,1.0
2023/08/22 11:04:23,,1.0
2023/08/22 11:04:27,,1.0
2023/08/22 11:04:31,S30,
2023/08/22 11:04:35,S00,
2023/08/22 11:04:39,S05,
2023/08/22 11:04:43,,1.0
2023/08/22 11:04:47,,0.0
2023/08/22 11:04:51,S00,
2023/08/22 11:04:55,,1.0
2023/08/22 11:04:59,S30,
2023/08/22 11:05:03,,0.0
2023/08/22 11:05:07,,0.0
2023/08/22 11:05:11,S30,
2023/08/22 11:05:15,S30,
2023/08/22 11:05:19,,1.0
2023/08/22 11:05:23,,0.0
2023/08/22 11:05:27,S05,
2023/08/22 11:05:31,S05,
2023/08/22 11:05:35,,1.0
2023/08/22 11:05:39,,0.0
2023/08/22 11:05:43,S00,
2023/08/22 11:05:47,S30,
2023/08/22 11:05:51,,0.0
2023/08/22 11:05:55,S30,
2023/08/22 11:05:59,S05,
2023/08/22 11:06:03,S05,
2023/08/22 11:06:07,,1.0
2023/08/22 11:06:11,,0.0
2023/08/22 11:06:15,,1.0
2023/08/22 11:06:19,,0.0
2023/08/22 11:06:23,,1.0
2023/08/22 11:06:27,,0.0
2023/08/22 11:06:31,S05,
2023/08/22 11:06:35,,0.0
2023/08/22 11:06:39,S00,
2023/08/22 11:06:43,S30,
2023/08/22 11:06:47,S00,
2023/08/22 11:06:51,,0.0
2023/08/22 11:06:55,,0.0
2023/08/22 11:06:59,S05,
2023/08/22 11:07:03,S30,
2023/08/22 11:07:07,S30,
2023/08/22 11:07:11,,0.0
2023/08/22 11:07:15,S00,
2023/08/22 11:07:19,S05,
2023/08/22 11:07:23,,0.0
2023/08/22 11:07:27,,0.0
2023/08/22 11:07:31,S30,
2023/08/22 11:07:35,,0.0
2023/08/22 11:07:39,S30,
2023/08/22 11:07:43,,0.0
2023/08/22 11:07:47,S30,
2023/08/22 11:07:51,,1.0
2023/08/22 11:07:55,,0.0
2023/08/22 11:07:59,S30,
2023/08/22 11:08:03,,0.0
2023/08/22 11:08:07,,1.0
2023/08/22 11:08:11,,1.0
2023/08/22 11:08:15,,2.0
2023/08/22 11:08:19,,0.0
2023/08/22 11:08:23,,0.0
2023/08/22 11:08:27,,0.0
2023/08/22 11:08:31,,2.0
2023/08/22 11:08:35,,1.0
2023/08/22 11:08:39,,2.0
2023/08/22 11:08:43,,0.0
2023/08/22 11:08:47,,0.0
2023/08/22 11:08:51,,1.0
2023/08/22 11:08:55,,1.0
2023/08/22 11:08:59,,1.0
2023/08/22 11:09:03,S30,
2023/08/22 11:09:07,S05,
2023/08/22 11:09:11,,1.0
2023/08/22 11:09:15,S00,
2023/08/22 11:09:19,,2.0
2023/08/22 11:09:23,,0.0
2023/08/22 11:09:27,,0.0
2023/08/22 11:09:31,S30,
2023/08/22 11:09:35,,1.0
2023/08/22 11:09:39,S30,
2023/08/22 11:09:43,,0.0
2023/08/22 11:09:47,,1.0
2023/08/22 11:09:51,,1.0
2023/08/22 11:09:55,,0.0
2023/08/22 11:09:59,,0.0
2023/08/22 11:10:03,,0.0
2023/08/22 11:10:07,,0.0
2023/08/22 11:10:11,S30,
2023/08/22 11:10:15,,0.0
2023/08/22 11:10:19,S30,
2023/08/22 11:10:23,S30,
2023/08/22 11:10:27,,1.0
2023/08/22 11:10:31,S05,
2023/08/22 11:10:35,S30,
2023/08/22 11:10:39,S00,
2023/08/22 11:10:43,,2.0
2023/08/22 11:10:47,,1.0
2023/08/22 11:10:51,,0.0
2023/08/22 11:10:55,,1.0
2023/08/22 11:10:59,,1.0
2023/08/22 11:11:03,S30,
2023/08/22 11:11:07,,1.0
2023/08/22 11:11:11,,1.0
2023/08/22 11:11:15,,0.0
2023/08/22 11:11:19,,1.0
2023/08/22 11:11:23,S05,
2023/08/22 11:11:27,,0.0
2023/08/22 11:11:31,,1.0
2023/08/22 11:11:35,,0.0
2023/08/22 11:11:39,,1.0
2023/08/22 11:11:43,,0.0
2023/08/22 11:11:47,,1.0
2023/08/22 11:11:51,,1.0
2023/08/22 11:11:55,,1.0
2023/08/22 11:11:59,,0.0
2023/08/22 11:12:03,S00,
2023/08/22 11:12:07,,0.0
2023/08/22 11:12:11,S00,
2023/08/22 11:12:15,,2.0
2023/08/22 11:12:19,,1.0
2023/08/22 11:12:23,,1.0
2023/08/22 11:17:27,,1.0
2023/08/22 11:17:31,S00,
2023/08/22 11:17:35,,1.0
2023/08/22 11:17:39,S30,
2023/08/22 11:17:43,S05,
2023/08/22 11:17:47,,1.0
2023/08/22 11:17:51,,0.0
2023/08/22 11:17:55,,1.0
2023/08/22 11:17:59,,0.0
2023/08/22 11:18:03,,0.0
2023/08/22 11:18:07,S30,
2023/08/22 11:18:11,,1.0
2023/08/22 11:18:15,,0.0
2023/08/22 11:18:19,,1.0
2023/08/22 11:18:23,S30,
2023/08/22 11:18:27,,1.0
2023/08/22 11:18:31,,2.0
2023/08/22 11:18:35,S00,
2023/08/22 11:18:39,S30,
2023/08/22 11:18:43,S05,
2023/08/22 11:18:47,,0.0
2023/08/22 11:18:51,,1.0
2023/08/22 11:18:55,S30,
2023/08/22 11:18:59,,2.0
2023/08/22 11:19:03,S00,
2023/08/22 11:19:07,,0.0
2023/08/22 11:19:11,S00,
2023/08/22 11:19:15,,1.0
2023/08/22 11:19:19,,1.0
2023/08/22 11:19:23,,0.0
2023/08/22 11:19:27,S30,
2023/08/22 11:19:31,S05,
2023/08/22 11:19:35,,1.0
2023/08/22 11:19:39,,0.0
2023/08/22 11:19:43,,1.0
2023/08/22 11:19:47,,0.0
2023/08/22 11:19:51,,0.0
2023/08/22 11:19:55,,1.0
2023/08/22 11:19:59,S05,
2023/08/22 11:20:03,S30,
2023/08/22 11:20:07,S30,
2023/08/22 11:20:11,S00,
2023/08/22 11:20:15,S05,
2023/08/22 11:20:19,S30,
2023/08/22 11:20:23,S05,
2023/08/22 11:20:27,,1.0
2023/08/22 11:20:31,,1.0
2023/08/22 11:20:35,S30,
2023/08/22 11:20:39,,0.0
2023/08/22 11:20:43,,1.0
2023/08/22 11:20:47,S00,
2023/08/22 11:20:51,,0.0
2023/08/22 11:20:55,,1.0
2023/08/22 11:20:59,,0.0
2023/08/22 11:21:03,,1.0
2023/08/22 11:21:07,,0.0
2023/08/22 11:21:11,,0.0
2023/08/22 11:21:15,,1.0
2023/08/22 11:21:19,S05,
2023/08/22 11:21:23,S05,
2023/08/22 11:21:27,,0.0
2023/08/22 11:21:31,S30,
2023/08/22 11:21:35,,1.0
2023/08/22 11:21:39,S00,
2023/08/22 11:21:43,S05,
2023/08/22 11:21:47,S05,
2023/08/22 11:21:51,,0.0
2023/08/22 11:21:55,,0.0
2023/08/22 11:21:59,S05,
2023/08/22 11:22:03,S30,
2023/08/22 11:22:07,S30,
2023/08/22 11:22:11,,1.0
2023/08/22 11:22:15,,1.0
2023/08/22 11:22:19,,1.0
2023/08/22 11:22:23,,1.0
2023/08/22 11:22:27,S05,
2023/08/22 11:22:31,,1.0
2023/08/22 11:22:35,,0.0
2023/08/22 11:22:39,S05,
2023/08/22 11:22:43,,0.0
2023/08/22 11:22:47,,0.0
2023/08/22 11:22:51,S05,
2023/08/22 11:22:55,,1.0
2023/08/22 11:22:59,,1.0
2023/08/22 11:23:03,,0.0
2023/08/22 11:23:07,,1.0
2023/08/22 11:23:11,,1.0
2023/08/22 11:23:15,,0.0
2023/08/22 11:23:19,,1.0
2023/08/22 11:23:23,,1.0
2023/08/22 11:23:27,S05,
2023/08/22 11:23:31,S05,
2023/08/22 11:23:35,,0.0
2023/08/22 11:23:39,,0.0
2023/08/22 11:23:43,S05,
2023/08/22 11:23:47,S05,
2023/08/22 11:23:51,,0.0
2023/08/22 11:23:55,,0.0
2023/08/22 11:23:59,,0.0
2023/08/22 11:24:03,,0.0
2023/08/22 11:24:07,,2.0
2023/08/22 11:24:11,,0.0
2023/08/22 11:24:15,,2.0
2023/08/22 11:24:19,,0.0
2023/08/22 11:24:23,,1.0
2023/08/22 11:24:27,,0.0
2023/08/22 11:24:31,S05,
2023/08/22 11:24:35,,2.0
2023/08/22 11:24:39,S05,
2023/08/22 11:24:43,,0.0
2023/08/22 11:24:47,,0.0
2023/08/22 11:24:51,,2.0
2023/08/22 11:24:55,,1.0
2023/08/22 11:24:59,S30,
2023/08/22 11:25:03,S30,
2023/08/22 11:25:07,,0.0
2023/08/22 11:25:11,,2.0
2023/08/22 11:25:15,S30,
2023/08/22 11:25:19,,1.0
2023/08/22 11:25:23,,1.0
2023/08/22 11:25:27,,1.0
2023/08/22 11:25:31,,1.0
2023/08/22 11:25:35,,0.0
2023/08/22 11:25:39,S30,
2023/08/22 11:25:43,,0.0
2023/08/22 11:25:47,S30,
2023/08/22 11:25:51,S00,
2023/08/22 11:25:55,,0.0
2023/08/22 11:25:59,,1.0
2023/08/22 11:26:03,S30,
2023/08/22 11:26:07,S30,
2023/08/22 11:26:11,S05,
2023/08/22 11:26:15,,0.0
2023/08/22 11:26:19,,0.0
2023/08/22 11:26:23,,0.0
2023/08/22 11:26:27,S30,
2023/08/22 11:26:31,,0.0
2023/08/22 11:26:35,S30,
2023/08/22 11:26:39,S05,
2023/08/22 11:26:43,S30,
2023/08/22 11:26:47,,1.0
2023/08/22 11:26:51,,1.0
2023/08/22 11:26:55,,1.0
2023/08/22 11:26:59,,0.0
2023/08/22 11:27:03,,0.0
2023/08/22 11:27:07,S05,
2023/08/22 11:27:11,S30,
2023/08/22 11:27:15,,0.0
2023/08/22 11:27:19,S30,
2023/08/22 11:27:23,,0.0
